f6800de0-a483-4d92-bf13-74854f63ef7d|kskbl|SLJT123|24|sdasdasfaf|2026-05-07|mo1@example.com|2026-04-07T12:47:17.190446700Z|Archived|2026-04-11T04:37:21.796854400Z
54805dc5-6fa4-4c3d-9395-75915178302e|EORTA|CS301SCS|24|zdjd'|2026-05-03|mo1@example.com|2026-04-07T13:45:21.117559200Z|Open|2026-04-11T04:45:51.138715900Z
3ec3efab-4dc7-4ec6-8ff7-6c76eaa1943d|SDASDA|WR123|30|SDASDASD|2026-05-03|mo1@example.com|2026-04-07T13:46:57.147819500Z|Open|2026-04-07T13:46:57.147819500Z
a8d003d3-c2ad-4f5e-afc0-349fdbe21509|kskbl|SLJT123|24|zdjd|2026-05-25|mo1@example.com|2026-04-08T13:19:03.921498900Z|Open|2026-05-20T02:36:06.046547Z
35f3b68a-b779-409b-851b-0088d914f3c1|MATH201 - Math TA|COMP999|11|Java, GPA 3.0+|2026-12-31|mo1@example.com|2026-05-18T09:00:56.058523900Z|Open|2026-05-18T09:00:56.058523900Z
0421628b-d686-414c-9298-e9efa6c09fab|wwwwwwwooooooo|114514|114514|114514|2050-01-01|mo1@example.com|2026-05-20T05:53:02.819813700Z|Open|2026-05-20T05:53:02.819813700Z
f26e39a0-a6c4-4176-b203-90cdc6415b28|114514|114514|114514|114514|3333-01-04|mo1@example.com|2026-05-20T08:14:41.842115400Z|Open|2026-05-20T08:14:41.842115400Z
c417558c-12de-45bf-8d4b-5b72354f859a|Identety V|DWRG|20|a lot of money|2026-05-30|mo1@example.com|2026-05-23T03:05:36.744977300Z|Open|2026-05-23T03:05:36.744977300Z
f63e649f-12ee-4daf-99b1-33923f937203|Computer TA|CSS101|10|111|2026-11-11|mo1@example.com|2026-05-23T09:52:34.540458Z|Archived|2026-05-23T09:53:34.838861800Z
5716689e-f768-4380-a1f5-22ba93d1e744|TATA|OOO111|10|111|2026-11-11|mo1@example.com|2026-05-23T10:01:59.607144Z|Open|2026-05-23T10:02:36.011535800Z
